"LATITUDE,N,32,10","LONGITUDE,N,32,10","BRIGHTNESS,N,32,10","SCAN,N,32,10","TRACK,N,32,10","ACQ_DATE,D","ACQ_TIME,C,4","SATELLITE,C,1","CONFIDENCE,N,6,0","VERSION,C,6","BRIGHT_T31,N,32,10","FRP,N,32,10","DAYNIGHT,C,1"
48.4043100000,-90.1300500000,301.3100000000,1.0000000000,1.0000000000,10/04/24,0304,T,40,6.1NRT,274.4000000000,9.4500000000,N
48.4024800000,-90.1431400000,306.1400000000,1.0000000000,1.0000000000,10/04/24,0304,T,67,6.1NRT,272.7200000000,12.1900000000,N
41.6348600000,-87.1360200000,307.3000000000,1.0100000000,1.0000000000,10/04/24,0302,T,71,6.1NRT,287.8900000000,9.4900000000,N
40.4918500000,-111.0609400000,300.3600000000,1.0200000000,1.0100000000,10/04/24,0442,T,8,6.1NRT,280.6500000000,7.3400000000,N
40.5058400000,-111.0342300000,300.3000000000,1.0200000000,1.0100000000,10/04/24,0442,T,13,6.1NRT,280.1400000000,7.2100000000,N
40.5043400000,-111.0457800000,337.7600000000,1.0200000000,1.0100000000,10/04/24,0442,T,100,6.1NRT,287.1100000000,44.6900000000,N
40.5028400000,-111.0574000000,349.9000000000,1.0200000000,1.0100000000,10/04/24,0442,T,100,6.1NRT,288.5800000000,67.1000000000,N
40.5013300000,-111.0690800000,340.6500000000,1.0200000000,1.0100000000,10/04/24,0442,T,100,6.1NRT,286.2000000000,49.3500000000,N
40.4998200000,-111.0807700000,332.1700000000,1.0200000000,1.0100000000,10/04/24,0442,T,100,6.1NRT,285.4800000000,36.5800000000,N
42.6827500000,-111.5882000000,321.6800000000,1.0300000000,1.0100000000,10/04/24,0442,T,100,6.1NRT,279.6200000000,25.0400000000,N
42.6811900000,-111.6003500000,301.6600000000,1.0300000000,1.0100000000,10/04/24,0442,T,43,6.1NRT,276.8400000000,9.2100000000,N
43.5820800000,-110.0695600000,312.9000000000,1.1500000000,1.0700000000,10/04/24,0442,T,86,6.1NRT,277.1800000000,20.4200000000,N
43.5806100000,-110.0826600000,306.9800000000,1.1500000000,1.0700000000,10/04/24,0442,T,70,6.1NRT,274.8000000000,15.4400000000,N
44.8214800000,-107.4185700000,304.0800000000,1.5800000000,1.2400000000,10/04/24,0442,T,58,6.1NRT,275.7500000000,19.8200000000,N
44.8418700000,-107.3141300000,318.8100000000,1.6000000000,1.2500000000,10/04/24,0442,T,97,6.1NRT,282.2500000000,40.5500000000,N
44.8399000000,-107.3361800000,300.1800000000,1.6000000000,1.2400000000,10/04/24,0442,T,20,6.1NRT,279.5000000000,13.9300000000,N
44.8232900000,-107.4247200000,306.7900000000,1.5800000000,1.2400000000,10/04/24,0442,T,69,6.1NRT,275.2800000000,21.8900000000,N
44.8430600000,-107.3200700000,320.7900000000,1.6000000000,1.2500000000,10/04/24,0442,T,100,6.1NRT,282.4200000000,45.7100000000,N
44.0834100000,-115.1493100000,306.4300000000,1.0500000000,1.0200000000,10/04/24,0442,T,68,6.1NRT,279.4600000000,11.6800000000,N
