LATITUDE;LONGITUDE;BRIGHT_TI4;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;CONFIDENCE;VERSION;BRIGHT_TI5;FRP;DAYNIGHT;
4416677,00;-7680194,00;301.89; 0.4 ;0.44;20240928,00;0635;N20;nominal;2.0NRT;288.35;0.91;N;
4405563,00;-7712119,00;305.9; 0.42 ;0.45;20240928,00;0635;N20;nominal;2.0NRT;287.31;1.05;N;
4146274,00;-816767,00;310.01; 0.33 ;0.55;20240928,00;0635;N20;nominal;2.0NRT;279.66;0.85;N;
4146574,00;-8167638,00;312.82; 0.33 ;0.55;20240928,00;0635;N20;nominal;2.0NRT;280.33;0.9;N;
4121096,00;-8081937,00;300.75; 0.59 ;0.53;20240928,00;0635;N20;nominal;2.0NRT;287.24;1.01;N;
4120866,00;-8081868,00;303.08; 0.59 ;0.53;20240928,00;0637;N20;nominal;2.0NRT;287.64;1.23;N;
4113131,00;-8069211,00;305.9; 0.58 ;0.52;20240928,00;0637;N20;nominal;2.0NRT;287.32;1.79;N;
4112011,00;-8535567,00;343.05; 0.51 ;0.66;20240928,00;0637;N20;nominal;2.0NRT;285.52;6.44;N;
4112089,00;-8535384,00;333.72; 0.51 ;0.66;20240928,00;0637;N20;nominal;2.0NRT;286.38;7.36;N;
4112108,00;-8536012,00;301,00; 0.51 ;0.66;20240928,00;0637;N20;nominal;2.0NRT;283.31;5.41;N;
4075651,00;-814394,00;299.32; 0.64 ;0.54;20240928,00;0637;N20;nominal;2.0NRT;288.42;2.05;N;
4057219,00;-8314053,00;311.18; 0.39 ;0.59;20240928,00;0637;N20;nominal;2.0NRT;286.79;0.83;N;
5126209,00;-8237494,00;296.9; 0.42 ;0.61;20240928,00;0633;N20;nominal;2.0NRT;284.72;0.22;N;
4818641,00;-6492268,00;299.01; 0.42 ;0.37;20240928,00;0633;N20;nominal;2.0NRT;281.13;0.9;N;
4852817,00;-8067821,00;295.33; 0.34 ;0.56;20240928,00;0633;N20;nominal;2.0NRT;281.78;0.3;N;
452801,00;-6602119,00;297.46; 0.42 ;0.38;20240928,00;0635;N20;nominal;2.0NRT;283.34;0.5;N;
4527913,00;-6601595,00;300.01; 0.42 ;0.38;20240928,00;0635;N20;nominal;2.0NRT;283.66;0.5;N;
460461,00;-7314322,00;306.85; 0.46 ;0.39;20240928,00;0635;N20;nominal;2.0NRT;287.79;1.39;N;
4604253,00;-7314409,00;309.96; 0.46 ;0.39;20240928,00;0635;N20;nominal;2.0NRT;286.35;1.39;N;
464893,00;-810368,00;297.4; 0.34 ;0.56;20240928,00;0635;N20;nominal;2.0NRT;282.94;1.04;N;
464891,00;-8103231,00;309.33; 0.34 ;0.56;20240928,00;0635;N20;nominal;2.0NRT;284.64;1.09;N;
464935,00;-8103331,00;307.83; 0.34 ;0.56;20240928,00;0635;N20;nominal;2.0NRT;284.69;0.73;N;
4583969,00;-7325485,00;295.51; 0.46 ;0.39;20240928,00;0635;N20;nominal;2.0NRT;284.37;1.24;N;
4583899,00;-7324896,00;311.9; 0.46 ;0.39;20240928,00;0635;N20;nominal;2.0NRT;286.68;1.24;N;
4653034,00;-8436024,00;295.77; 0.49 ;0.65;20240928,00;0635;N20;nominal;2.0NRT;285.59;1.13;N;
4652459,00;-8438023,00;328.14; 0.49 ;0.65;20240928,00;0635;N20;nominal;2.0NRT;287.2;2.18;N;
465247,00;-843868,00;303.87; 0.49 ;0.65;20240928,00;0635;N20;nominal;2.0NRT;284.39;1.67;N;
4652449,00;-843736,00;302.08; 0.49 ;0.65;20240928,00;0635;N20;nominal;2.0NRT;286.83;2.18;N;
4651883,00;-8440008,00;330.37; 0.49 ;0.65;20240928,00;0635;N20;nominal;2.0NRT;286.1;3.62;N;
457818,00;-7391225,00;298.76; 0.48 ;0.4;20240928,00;0635;N20;nominal;2.0NRT;281.51;0.8;N;
4564423,00;-7352219,00;299.41; 0.46 ;0.39;20240928,00;0635;N20;nominal;2.0NRT;288,00;0.98;N;
4533899,00;-7352379,00;301.23; 0.46 ;0.39;20240928,00;0635;N20;nominal;2.0NRT;284.82;1.19;N;
4511115,00;-7301327,00;299.78; 0.44 ;0.38;20240928,00;0635;N20;nominal;2.0NRT;283.85;1.25;N;
4530686,00;-7499595,00;302.11; 0.52 ;0.42;20240928,00;0635;N20;nominal;2.0NRT;281.99;0.75;N;
4310474,00;-10633346,00;336.93; 0.63 ;0.54;20240928,00;0818;N20;nominal;2.0NRT;282.59;5.86;N;
5585856,00;-10274668,00;301.63; 0.56 ;0.51;20240928,00;0813;N20;nominal;2.0NRT;275.7;0.84;N;
4310494,00;-10633259,00;334.15; 0.63 ;0.54;20240928,00;0818;N20;nominal;2.0NRT;282.11;7.44;N;
5512643,00;-10348524,00;327.64; 0.59 ;0.53;20240928,00;0813;N20;nominal;2.0NRT;280.24;3.74;N;
4208584,00;-9736435,00;297.34; 0.4 ;0.37;20240928,00;0818;N20;nominal;2.0NRT;284.68;0.95;N;
5512474,00;-10344762,00;302.78; 0.59 ;0.53;20240928,00;0813;N20;nominal;2.0NRT;278.48;1.78;N;
420785,00;-9736128,00;297.64; 0.4 ;0.37;20240928,00;0818;N20;nominal;2.0NRT;286.71;0.85;N;
5466904,00;-9775766,00;322.51; 0.53 ;0.42;20240928,00;0813;N20;nominal;2.0NRT;284.98;3.69;N;
5467208,00;-9775473,00;327.05; 0.53 ;0.42;20240928,00;0813;N20;nominal;2.0NRT;284.31;3.33;N;
4268758,00;-11159929,00;367,00; 0.58 ;0.7;20240928,00;0818;N20;high;2.0NRT;279.8;30.93;N;
5398356,00;-11392236,00;303.09; 0.77 ;0.78;20240928,00;0813;N20;nominal;2.0NRT;275.04;1.53;N;
4268748,00;-11159182,00;317.18; 0.58 ;0.7;20240928,00;0818;N20;nominal;2.0NRT;283.04;19.66;N;
5398248,00;-11391811,00;302.03; 0.77 ;0.77;20240928,00;0813;N20;nominal;2.0NRT;274.91;1.95;N;
5384981,00;-11312896,00;295.86; 0.72 ;0.75;20240928,00;0813;N20;nominal;2.0NRT;273.95;0.55;N;
4100592,00;-9615222,00;303.75; 0.38 ;0.36;20240928,00;0818;N20;nominal;2.0NRT;283.95;0.74;N;
527802,00;-10066772,00;308.12; 0.43 ;0.46;20240928,00;0816;N20;nominal;2.0NRT;287.28;1.91;N;
4178197,00;-10711008,00;297.35; 0.34 ;0.56;20240928,00;0818;N20;nominal;2.0NRT;284.8;1.22;N;
5278119,00;-10066703,00;308.6; 0.43 ;0.46;20240928,00;0816;N20;nominal;2.0NRT;287.11;2.06;N;
5230486,00;-11357176,00;315.61; 0.75 ;0.77;20240928,00;0816;N20;nominal;2.0NRT;276.19;3.6;N;
4127116,00;-10560474,00;296.37; 0.56 ;0.51;20240928,00;0818;N20;nominal;2.0NRT;283.27;1.36;N;
5230526,00;-11356062,00;297.05; 0.75 ;0.77;20240928,00;0816;N20;nominal;2.0NRT;279.42;3.54;N;
5230971,00;-11356846,00;329.44; 0.75 ;0.77;20240928,00;0816;N20;nominal;2.0NRT;277.8;5.2;N;
4082516,00;-11426309,00;298.74; 0.79 ;0.78;20240928,00;0818;N20;nominal;2.0NRT;284.71;1.44;N;
458384,00;-7325401,00;296.66; 0.78 ;0.78;20240928,00;0816;N20;nominal;2.0NRT;282.79;1.46;N;
5130087,00;-9916688,00;326.73; 0.55 ;0.42;20240928,00;0816;N20;nominal;2.0NRT;280.47;8.41;N;
5130014,00;-9915901,00;329.77; 0.55 ;0.42;20240928,00;0816;N20;nominal;2.0NRT;286.19;8.41;N;
5129624,00;-9915996,00;316.07; 0.55 ;0.42;20240928,00;0816;N20;nominal;2.0NRT;284.27;3.45;N;
4024345,00;-10487561,00;300.89; 0.5 ;0.49;20240928,00;0818;N20;nominal;2.0NRT;284.62;0.99;N;
5161319,00;-10901138,00;317.36; 0.48 ;0.65;20240928,00;0816;N20;nominal;2.0NRT;277.3;1.7;N;
4024625,00;-10487659,00;304.83; 0.5 ;0.49;20240928,00;0818;N20;nominal;2.0NRT;285.74;1,00;N;
5057495,00;-9627384,00;297.58; 0.43 ;0.38;20240928,00;0816;N20;nominal;2.0NRT;281.67;0.58;N;
4658032,00;-8079241,00;303.15; 0.35 ;0.57;20240928,00;0816;N20;nominal;2.0NRT;282.18;0.62;N;
4657546,00;-8079526,00;322.92; 0.35 ;0.57;20240928,00;0816;N20;nominal;2.0NRT;282.38;2.36;N;
4657422,00;-8079089,00;297.21; 0.35 ;0.57;20240928,00;0816;N20;nominal;2.0NRT;282.76;1.82;N;
4976141,00;-9719096,00;296.72; 0.45 ;0.39;20240928,00;0816;N20;nominal;2.0NRT;283.11;0.27;N;
4649291,00;-8102946,00;314.73; 0.34 ;0.56;20240928,00;0816;N20;nominal;2.0NRT;283.32;11.26;N;
464893,00;-8103651,00;331.42; 0.34 ;0.56;20240928,00;0816;N20;nominal;2.0NRT;282.93;11.26;N;
4648812,00;-8103236,00;341.97; 0.34 ;0.56;20240928,00;0816;N20;nominal;2.0NRT;295.53;11.26;N;
4649132,00;-8103304,00;367,00; 0.34 ;0.56;20240928,00;0816;N20;high;2.0NRT;285.53;16.82;N;
4649015,00;-8102885,00;340.65; 0.34 ;0.56;20240928,00;0816;N20;nominal;2.0NRT;289.75;16.82;N;
4653051,00;-843604,00;305.67; 0.49 ;0.48;20240928,00;0816;N20;nominal;2.0NRT;284.93;0.84;N;
4652084,00;-8437898,00;343.39; 0.48 ;0.48;20240928,00;0816;N20;nominal;2.0NRT;289.84;9,00;N;
4651936,00;-8437301,00;300.4; 0.48 ;0.48;20240928,00;0816;N20;nominal;2.0NRT;287.25;4.94;N;
465154,00;-8439539,00;309.4; 0.48 ;0.48;20240928,00;0816;N20;nominal;2.0NRT;286.35;1.73;N;
4935321,00;-10273026,00;295.83; 0.49 ;0.48;20240928,00;0816;N20;nominal;2.0NRT;278.41;0.67;N;
4756628,00;-9262567,00;306.53; 0.39 ;0.36;20240928,00;0816;N20;nominal;2.0NRT;286.91;0.96;N;
4597242,00;-8587637,00;301.2; 0.43 ;0.46;20240928,00;0816;N20;nominal;2.0NRT;284.5;0.55;N;
4843052,00;-10268716,00;338.21; 0.47 ;0.48;20240928,00;0816;N20;nominal;2.0NRT;285.16;8.18;N;
4507426,00;-8340798,00;313.09; 0.59 ;0.53;20240928,00;0816;N20;nominal;2.0NRT;287.49;3.7;N;
4507453,00;-8340718,00;314.09; 0.59 ;0.53;20240928,00;0816;N20;nominal;2.0NRT;287.64;1.92;N;
4820717,00;-10386151,00;297.46; 0.53 ;0.5;20240928,00;0816;N20;nominal;2.0NRT;280.96;0.71;N;
4811415,00;-10290526,00;295.45; 0.48 ;0.48;20240928,00;0816;N20;nominal;2.0NRT;282.95;0.86;N;
4531707,00;-8529909,00;300.38; 0.47 ;0.48;20240928,00;0816;N20;nominal;2.0NRT;288.32;2.06;N;
46.73;-9207721,00;331.11; 0.4 ;0.37;20240928,00;0816;N20;nominal;2.0NRT;290.36;3.43;N;
4802473,00;-10333674,00;296.23; 0.5 ;0.49;20240928,00;0816;N20;nominal;2.0NRT;284.76;1.19;N;
4802018,00;-10333727,00;308.69; 0.5 ;0.49;20240928,00;0816;N20;nominal;2.0NRT;282.09;1.19;N;
4799435,00;-10302868,00;299.25; 0.49 ;0.48;20240928,00;0816;N20;nominal;2.0NRT;283.54;0.93;N;
4799612,00;-10338857,00;299.62; 0.5 ;0.49;20240928,00;0816;N20;nominal;2.0NRT;281.78;0.95;N;
4799552,00;-10338901,00;300.96; 0.5 ;0.49;20240928,00;0816;N20;nominal;2.0NRT;281.02;0.57;N;
4798629,00;-10345351,00;295,00; 0.51 ;0.49;20240928,00;0816;N20;nominal;2.0NRT;282.01;0.71;N;
4800006,00;-10415678,00;307.8; 0.55 ;0.51;20240928,00;0816;N20;nominal;2.0NRT;284.32;1.88;N;
4795055,00;-10404573,00;300.7; 0.54 ;0.51;20240928,00;0816;N20;nominal;2.0NRT;281.81;0.83;N;
4790559,00;-10355549,00;302.3; 0.51 ;0.5;20240928,00;0816;N20;nominal;2.0NRT;282.62;0.65;N;
479267,00;-10404189,00;297.85; 0.54 ;0.51;20240928,00;0816;N20;nominal;2.0NRT;281.76;0.47;N;
4788433,00;-1037829,00;312.55; 0.52 ;0.5;20240928,00;0816;N20;nominal;2.0NRT;281.66;1.5;N;
4770538,00;-10300299,00;298.83; 0.48 ;0.48;20240928,00;0816;N20;nominal;2.0NRT;284.48;0.72;N;
4750233,00;-10307018,00;298.42; 0.48 ;0.48;20240928,00;0816;N20;nominal;2.0NRT;279.47;0.52;N;
4735831,00;-10183742,00;304.97; 0.42 ;0.45;20240928,00;0816;N20;nominal;2.0NRT;289.09;1.7;N;
4735413,00;-10183817,00;316.57; 0.42 ;0.45;20240928,00;0816;N20;nominal;2.0NRT;286.98;2.21;N;
4740451,00;-10294164,00;302.34; 0.47 ;0.48;20240928,00;0816;N20;nominal;2.0NRT;284.71;0.95;N;
473883,00;-10296378,00;303.85; 0.48 ;0.48;20240928,00;0816;N20;nominal;2.0NRT;281.48;0.42;N;
4569135,00;-9183957,00;304.31; 0.41 ;0.37;20240928,00;0816;N20;nominal;2.0NRT;284.62;0.55;N;
